Home,Away,Home_Goals,Away_Goals
G-Osaka,Kobe,2,3
Hiroshima,Urawa,1,0
Nagoya,Shimizu,1,0
Sagan Tosu,C-Osaka,0,0
Sapporo,Iwata,0,0
Vegalta Sendai,Kashima,1,0
Kawasaki Frontale,Albirex Niigata,1,0
Omiya Ardija,FC Tokyo,0,1
Kashiwa,Yokohama M.,3,3
Albirex Niigata,Omiya Ardija,1,2
C-Osaka,G-Osaka,2,1
Kashima,Kawasaki Frontale,0,1
Urawa,Kashiwa,1,0
Yokohama M.,Vegalta Sendai,0,2
Shimizu,Hiroshima,2,1
Iwata,Sagan Tosu,2,1
Kobe,Sapporo,2,1
FC Tokyo,Nagoya,3,2
Hiroshima,Kashima,2,0
Vegalta Sendai,Omiya Ardija,4,1
Kawasaki Frontale,C-Osaka,0,1
Kobe,FC Tokyo,0,2
Sagan Tosu,Yokohama M.,1,0
Sapporo,Urawa,1,2
Kashiwa,Shimizu,2,1
Nagoya,Albirex Niigata,2,1
G-Osaka,Iwata,1,2
Omiya Ardija,Nagoya,1,1
FC Tokyo,Hiroshima,0,1
C-Osaka,Vegalta Sendai,1,2
Iwata,Kashiwa,1,0
Urawa,Kawasaki Frontale,1,1
Albirex Niigata,G-Osaka,1,1
Shimizu,Sapporo,1,0
Sagan Tosu,Kobe,3,0
Yokohama M.,Kashima,0,0
Kobe,Shimizu,0,1
Nagoya,Sagan Tosu,1,0
Sapporo,Kashiwa,0,2
Vegalta Sendai,Iwata,2,2
Albirex Niigata,Yokohama M.,0,0
Omiya Ardija,C-Osaka,0,3
Kashima,Urawa,1,3
Hiroshima,G-Osaka,4,1
Kawasaki Frontale,FC Tokyo,0,1
FC Tokyo,Kashima,1,2
Kashiwa,Vegalta Sendai,2,3
Yokohama M.,Omiya Ardija,1,1
Urawa,Kobe,2,0
Nagoya,Sapporo,3,1
Shimizu,Iwata,3,2
Sagan Tosu,Hiroshima,1,0
C-Osaka,Albirex Niigata,0,1
G-Osaka,Kawasaki Frontale,3,2
Hiroshima,Nagoya,1,1
Iwata,Yokohama M.,1,0
Kobe,Kashiwa,3,1
Sapporo,Kawasaki Frontale,2,3
Kashima,C-Osaka,3,2
Sagan Tosu,Albirex Niigata,1,0
Omiya Ardija,Urawa,2,0
Vegalta Sendai,FC Tokyo,4,0
G-Osaka,Shimizu,3,1
FC Tokyo,Shimizu,0,1
Nagoya,Urawa,1,2
Kashiwa,Sagan Tosu,1,1
Kawasaki Frontale,Hiroshima,1,4
Kashima,G-Osaka,5,0
Albirex Niigata,Vegalta Sendai,0,1
Omiya Ardija,Sapporo,2,1
Yokohama M.,Kobe,3,1
C-Osaka,Iwata,3,2
Kobe,Omiya Ardija,3,0
Sapporo,C-Osaka,1,0
Kawasaki Frontale,Iwata,4,3
Hiroshima,Albirex Niigata,0,1
Sagan Tosu,Vegalta Sendai,1,1
Shimizu,Kashima,3,0
Urawa,Yokohama M.,1,2
C-Osaka,Kobe,1,2
Vegalta Sendai,Shimizu,0,1
Yokohama M.,Sapporo,2,1
Kashiwa,Hiroshima,2,5
Iwata,Urawa,2,2
Nagoya,Kawasaki Frontale,2,3
Omiya Ardija,G-Osaka,1,0
Albirex Niigata,FC Tokyo,0,2
Kashima,Sagan Tosu,0,0
Sapporo,FC Tokyo,0,1
Iwata,Kashima,3,0
Sagan Tosu,Omiya Ardija,1,1
Hiroshima,Yokohama M.,1,3
Kawasaki Frontale,Kashiwa,0,2
Shimizu,C-Osaka,1,1
Urawa,Albirex Niigata,1,1
Kobe,Nagoya,0,1
G-Osaka,Vegalta Sendai,1,1
Hiroshima,Kobe,3,2
Yokohama M.,G-Osaka,0,0
Albirex Niigata,Iwata,1,6
Urawa,Shimizu,1,0
Omiya Ardija,Kawasaki Frontale,0,2
Kashima,Sapporo,7,0
Vegalta Sendai,Nagoya,4,0
C-Osaka,Kashiwa,1,2
FC Tokyo,Sagan Tosu,3,2
G-Osaka,Sagan Tosu,2,3
Nagoya,C-Osaka,0,1
Kawasaki Frontale,Vegalta Sendai,3,2
Sapporo,Hiroshima,1,3
Shimizu,Yokohama M.,0,0
Iwata,Omiya Ardija,4,0
Kobe,Kashima,1,2
Kashiwa,Albirex Niigata,2,0
FC Tokyo,Urawa,1,1
Vegalta Sendai,Sapporo,4,1
Kashima,Nagoya,2,3
Albirex Niigata,Shimizu,1,0
C-Osaka,Hiroshima,1,4
G-Osaka,Urawa,1,2
Iwata,Kobe,1,3
Omiya Ardija,Kashiwa,2,4
Sagan Tosu,Kawasaki Frontale,0,1
Yokohama M.,FC Tokyo,1,0
Sapporo,G-Osaka,0,4
FC Tokyo,C-Osaka,2,0
Shimizu,Sagan Tosu,1,1
Hiroshima,Omiya Ardija,0,0
Kashiwa,Kashima,1,1
Kawasaki Frontale,Yokohama M.,0,0
Kobe,Albirex Niigata,1,0
Nagoya,Iwata,2,0
Urawa,Vegalta Sendai,0,0
FC Tokyo,Kashiwa,0,1
G-Osaka,Nagoya,2,2
Yokohama M.,Nagoya,1,1
Vegalta Sendai,Hiroshima,2,2
Albirex Niigata,Kashima,1,1
C-Osaka,Urawa,1,1
G-Osaka,Kashiwa,2,6
Iwata,FC Tokyo,3,1
Kawasaki Frontale,Kobe,0,1
Omiya Ardija,Shimizu,1,0
Sagan Tosu,Sapporo,1,0
Sapporo,Albirex Niigata,0,1
Shimizu,Kawasaki Frontale,0,0
Urawa,Sagan Tosu,4,3
FC Tokyo,G-Osaka,3,2
Kashima,Omiya Ardija,1,0
Hiroshima,Iwata,2,0
Kashiwa,Nagoya,1,2
Kobe,Vegalta Sendai,0,1
Yokohama M.,C-Osaka,1,1
Shimizu,Kashiwa,3,5
Albirex Niigata,Urawa,0,0
C-Osaka,Kashima,0,1
G-Osaka,Yokohama M.,1,2
Hiroshima,Kawasaki Frontale,3,0
Iwata,Sapporo,4,1
Nagoya,Vegalta Sendai,0,0
Omiya Ardija,Kobe,2,2
Sagan Tosu,FC Tokyo,1,0
Sapporo,Nagoya,2,1
Urawa,Iwata,2,0
FC Tokyo,Albirex Niigata,0,2
Kashima,Hiroshima,2,2
Vegalta Sendai,Sagan Tosu,1,1
Kashiwa,C-Osaka,4,1
Kawasaki Frontale,Omiya Ardija,4,1
Kobe,G-Osaka,1,1
Yokohama M.,Shimizu,3,0
Urawa,FC Tokyo,2,2
Vegalta Sendai,Yokohama M.,2,2
Albirex Niigata,Kashiwa,1,1
C-Osaka,Sapporo,4,0
G-Osaka,Omiya Ardija,3,1
Hiroshima,Shimizu,1,2
Iwata,Kawasaki Frontale,2,2
Nagoya,Kobe,5,1
Sagan Tosu,Kashima,2,0
Sapporo,Vegalta Sendai,2,1
Shimizu,Nagoya,3,2
Kashima,Iwata,2,1
G-Osaka,C-Osaka,2,2
Kashiwa,FC Tokyo,1,1
Kawasaki Frontale,Sagan Tosu,1,2
Kobe,Urawa,1,0
Omiya Ardija,Hiroshima,1,2
Yokohama M.,Albirex Niigata,3,2
Sapporo,Kobe,2,4
FC Tokyo,Omiya Ardija,0,1
Albirex Niigata,Hiroshima,0,2
Iwata,C-Osaka,4,3
Nagoya,G-Osaka,0,5
Sagan Tosu,Shimizu,0,1
Urawa,Kashima,2,1
Vegalta Sendai,Kashiwa,0,0
Yokohama M.,Kawasaki Frontale,2,2
Shimizu,Urawa,0,2
Kashima,Albirex Niigata,0,1
C-Osaka,Yokohama M.,2,0
G-Osaka,Sapporo,7,2
Hiroshima,FC Tokyo,0,1
Kashiwa,Iwata,0,3
Kawasaki Frontale,Nagoya,0,1
Kobe,Sagan Tosu,0,0
Omiya Ardija,Vegalta Sendai,1,3
Sapporo,Shimizu,0,2
Urawa,Omiya Ardija,1,1
FC Tokyo,Yokohama M.,3,1
Albirex Niigata,C-Osaka,0,1
Iwata,Hiroshima,1,1
Kashima,Kobe,1,0
Nagoya,Kashiwa,1,0
Sagan Tosu,G-Osaka,4,1
Vegalta Sendai,Kawasaki Frontale,2,1
C-Osaka,Nagoya,0,2
Omiya Ardija,Sagan Tosu,1,0
G-Osaka,Albirex Niigata,1,1
Hiroshima,Vegalta Sendai,2,1
Kashiwa,Sapporo,3,1
Kawasaki Frontale,Kashima,2,2
Kobe,Iwata,1,2
Shimizu,FC Tokyo,1,1
Yokohama M.,Urawa,1,2
Kashima,Yokohama M.,1,2
Sapporo,Omiya Ardija,0,5
Vegalta Sendai,Kobe,2,1
Iwata,Albirex Niigata,0,0
Urawa,G-Osaka,0,5
C-Osaka,Shimizu,3,2
FC Tokyo,Kawasaki Frontale,1,2
Nagoya,Hiroshima,1,2
Sagan Tosu,Kashiwa,3,1
Shimizu,Vegalta Sendai,3,1
