Id,OverallQual,OverallCond,YearBuilt,BsmtFinSF1,FlrSF1st,FlrSF2nd,GrLivArea,SalePrice
1,7,5,2003,706,856,854,1710,208500
2,6,8,1976,978,1262,0,1262,181500
3,7,5,2001,486,920,866,1786,223500
4,7,5,1915,216,961,756,1717,140000
5,8,5,2000,655,1145,1053,2198,250000
6,5,5,1993,732,796,566,1362,143000
7,8,5,2004,1369,1694,0,1694,307000
8,7,6,1973,859,1107,983,2090,200000
9,7,5,1931,0,1022,752,1774,129900
10,5,6,1939,851,1077,0,1077,118000
11,5,5,1965,906,1040,0,1040,129500
12,9,5,2005,998,1182,1142,2324,345000
13,5,6,1962,737,912,0,912,144000
14,7,5,2006,0,1494,0,1494,279500
15,6,5,1960,733,1253,0,1253,157000
16,7,8,1929,0,854,0,854,132000
17,6,7,1970,578,1004,0,1004,149000
18,4,5,1967,0,1296,0,1296,90000
19,5,5,2004,646,1114,0,1114,159000
20,5,6,1958,504,1339,0,1339,139000
21,8,5,2005,0,1158,1218,2376,325300
22,7,7,1930,0,1108,0,1108,139400
23,8,5,2002,0,1795,0,1795,230000
24,5,7,1976,840,1060,0,1060,129900
25,5,8,1968,188,1060,0,1060,154000
26,8,5,2007,0,1600,0,1600,256300
27,5,7,1951,234,900,0,900,134800
28,8,5,2007,1218,1704,0,1704,306000
29,5,6,1957,1277,1600,0,1600,207500
30,4,6,1927,0,520,0,520,68500
31,4,4,1920,0,649,668,1317,40000
32,5,6,1966,0,1228,0,1228,149350
33,8,5,2007,0,1234,0,1234,179900
34,5,5,1959,1018,1700,0,1700,165500
35,9,5,2005,1153,1561,0,1561,277500
36,8,5,2004,0,1132,1320,2452,309000
37,5,5,1994,0,1097,0,1097,145000
38,5,6,1954,1213,1297,0,1297,153000
39,5,7,1953,731,1057,0,1057,109000
40,4,5,1955,0,1152,0,1152,82000
41,6,5,1965,643,1324,0,1324,160000
42,5,6,1959,967,1328,0,1328,170000
43,5,7,1983,747,884,0,884,144000
44,5,6,1975,280,938,0,938,130250
45,5,6,1959,179,1150,0,1150,141000
46,9,5,2005,456,1752,0,1752,319900
47,7,5,2003,1351,1518,631,2149,239686
48,8,5,2006,24,1656,0,1656,249700
49,4,5,1920,0,736,716,1452,113000
50,5,7,1966,763,955,0,955,127000
51,6,6,1997,182,794,676,1470,177000
52,6,6,1934,0,816,0,1176,114500
53,5,5,1963,104,816,0,816,110000
54,9,5,1981,1810,1842,0,1842,385000
55,5,5,1955,384,1360,0,1360,130000
56,6,5,1964,490,1425,0,1425,180500
57,8,5,1999,649,983,756,1739,172500
58,7,5,2004,0,860,860,1720,196500
59,10,5,2006,0,1426,1519,2945,438780
60,5,7,1972,632,780,0,780,124900
61,6,5,2004,941,1158,0,1158,158000
62,5,7,1920,0,581,530,1111,101000
63,8,5,2006,24,1370,0,1370,202500
64,7,6,1921,0,902,808,1710,140000
65,7,5,1997,739,1057,977,2034,219500
66,8,5,2004,0,1143,1330,2473,317000
67,7,5,1970,912,2207,0,2207,180000
68,7,5,2003,1013,1479,0,1479,226000
69,4,6,1945,0,747,0,747,80000
70,7,4,1953,603,1304,983,2287,225000
71,7,6,1973,1880,2223,0,2223,244000
72,4,6,1982,565,845,0,845,129500
73,7,5,1998,0,885,833,1718,185000
74,5,7,1954,320,1086,0,1086,144900
75,3,6,1915,0,840,765,1605,107400
76,4,5,1973,462,526,462,988,91000
77,4,7,1956,228,952,0,952,135750
78,5,5,1948,336,1072,213,1285,127000
79,4,5,1968,0,1768,0,1768,136500
80,5,6,1910,0,682,548,1230,110000
81,6,6,1968,448,1182,960,2142,193500
82,6,5,1998,1201,1337,0,1337,153500
83,8,5,2007,33,1563,0,1563,245000
